Número a buscar	Tamaño de n	Tiempo real	¿Encontrado'				
0	100	 0.0000009537 s 	 No				
0	1000	 0.0000009537 s 	 No				
0	5000	 0.0000000000 s 	 No				
0	10000	 0.0000009537 s 	 No				
0	50000	 0.0000009537 s 	 No				
0	100000	 0.0000000000 s 	 No				
0	200000	 0.0000009537 s 	 No				
0	400000	 0.0000009537 s 	 No				
0	600000	 0.0000000000 s 	 No				
0	800000	 0.0000009537 s 	 No				
0	1000000	 0.0000009537 s 	 No				
0	2000000	 0.0000009537 s 	 No				
0	3000000	 0.0000021458 s 	 No				
0	4000000	 0.0000009537 s 	 No				
0	5000000	 0.0000009537 s 	 No				El tiempo promedio para n=100 fue: 0.0000004411
0	6000000	 0.0000009537 s 	 No				El tiempo promedio para n=1000 fue: 0.0000005007
0	7000000	 0.0000019073 s 	 No				El tiempo promedio para n=5000 fue: 0.0000005960
0	8000000	 0.0000009537 s 	 No				El tiempo promedio para n=10000 fue: 0.0000004888
0	9000000	 0.0000019073 s 	 No				El tiempo promedio para n=50000 fue: 0.0000008464
0	10000000	 0.0000021458 s 	 No				El tiempo promedio para n=100000 fue: 0.0000007272
5000	100	 0.0000000000 s 	 No				El tiempo promedio para n=200000 fue: 0.0000010014
5000	1000	 0.0000009537 s 	 No				El tiempo promedio para n=400000 fue: 0.0000012636
5000	5000	 0.0000009537 s 	 No				El tiempo promedio para n=600000 fue: 0.0000012398
5000	10000	 0.0000000000 s 	 No				El tiempo promedio para n=800000 fue: 0.0000012755
5000	50000	 0.0000000000 s 	 No				El tiempo promedio para n=1000000 fue: 0.0000013947
5000	100000	 0.0000009537 s 	 No				El tiempo promedio para n=2000000 fue: 0.0000015974
5000	200000	 0.0000000000 s 	 No				El tiempo promedio para n=3000000 fue: 0.0000019550
5000	400000	 0.0000009537 s 	 No				El tiempo promedio para n=4000000 fue: 0.0000020862
5000	600000	 0.0000009537 s 	 No				El tiempo promedio para n=6000000 fue: 0.0000023365
5000	800000	 0.0000009537 s 	 No				El tiempo promedio para n=5000000 fue: 0.0000023007
5000	1000000	 0.0000009537 s 	 No				El tiempo promedio para n=7000000 fue: 0.0000025272
5000	2000000	 0.0000009537 s 	 No				El tiempo promedio para n=8000000 fue: 0.0000022411
5000	3000000	 0.0000019073 s 	 No				El tiempo promedio para n=9000000 fue: 0.0000025988
5000	4000000	 0.0000019073 s 	 No				El tiempo promedio para n=10000000 fue: 0.0000025511
5000	5000000	 0.0000021458 s 	 No				
5000	6000000	 0.0000009537 s 	 No				
5000	7000000	 0.0000021458 s 	 No				
5000	8000000	 0.0000019073 s 	 No				
5000	9000000	 0.0000019073 s 	 No				
5000	10000000	 0.0000021458 s 	 No				
61396	100	 0.0000000000 s 	 No				
61396	1000	 0.0000009537 s 	 No				
61396	5000	 0.0000009537 s 	 No				
61396	10000	 0.0000009537 s 	 No				
61396	50000	 0.0000009537 s 	 No				
61396	100000	 0.0000009537 s 	 No				
61396	200000	 0.0000009537 s 	 No				
61396	400000	 0.0000009537 s 	 No				
61396	600000	 0.0000021458 s 	 No				
61396	800000	 0.0000009537 s 	 No				
61396	1000000	 0.0000019073 s 	 No				
61396	2000000	 0.0000009537 s 	 No				
61396	3000000	 0.0000021458 s 	 No				
61396	4000000	 0.0000028610 s 	 No				
61396	5000000	 0.0000019073 s 	 No				
61396	6000000	 0.0000021458 s 	 No				
61396	7000000	 0.0000019073 s 	 No				
61396	8000000	 0.0000019073 s 	 No				
61396	9000000	 0.0000028610 s 	 No				
61396	10000000	 0.0000028610 s 	 No				
152503	100	 0.0000009537 s 	 No				
152503	1000	 0.0000000000 s 	 No				
152503	5000	 0.0000000000 s 	 No				
152503	10000	 0.0000009537 s 	 No				
152503	50000	 0.0000000000 s 	 No				
152503	100000	 0.0000000000 s 	 No				
152503	200000	 0.0000009537 s 	 No				
152503	400000	 0.0000000000 s 	 No				
152503	600000	 0.0000000000 s 	 No				
152503	800000	 0.0000009537 s 	 No				
152503	1000000	 0.0000009537 s 	 No				
152503	2000000	 0.0000009537 s 	 No				
152503	3000000	 0.0000011921 s 	 No				
152503	4000000	 0.0000011921 s 	 No				
152503	5000000	 0.0000019073 s 	 No				
152503	6000000	 0.0000021458 s 	 No				
152503	7000000	 0.0000019073 s 	 No				
152503	8000000	 0.0000009537 s 	 No				
152503	9000000	 0.0000019073 s 	 No				
152503	10000000	 0.0000019073 s 	 No				
214826	100	 0.0000000000 s 	 No				
214826	1000	 0.0000000000 s 	 No				
214826	5000	 0.0000000000 s 	 No				
214826	10000	 0.0000000000 s 	 No				
214826	50000	 0.0000009537 s 	 No				
214826	100000	 0.0000000000 s 	 No				
214826	200000	 0.0000000000 s 	 No				
214826	400000	 0.0000019073 s 	 No				
214826	600000	 0.0000009537 s 	 No				
214826	800000	 0.0000019073 s 	 No				
214826	1000000	 0.0000009537 s 	 No				
214826	2000000	 0.0000021458 s 	 No				
214826	3000000	 0.0000019073 s 	 No				
214826	4000000	 0.0000021458 s 	 No				
214826	5000000	 0.0000021458 s 	 No				
214826	6000000	 0.0000030994 s 	 No				
214826	7000000	 0.0000030994 s 	 No				
214826	8000000	 0.0000019073 s 	 No				
214826	9000000	 0.0000028610 s 	 No				
214826	10000000	 0.0000028610 s 	 No				
322486	100	 0.0000009537 s 	 No				
322486	1000	 0.0000000000 s 	 No				
322486	5000	 0.0000011921 s 	 No				
322486	10000	 0.0000009537 s 	 No				
322486	50000	 0.0000009537 s 	 No				
322486	100000	 0.0000009537 s 	 No				
322486	200000	 0.0000021458 s 	 No				
322486	400000	 0.0000030994 s 	 No				
322486	600000	 0.0000019073 s 	 No				
322486	800000	 0.0000019073 s 	 No				
322486	1000000	 0.0000019073 s 	 No				
322486	2000000	 0.0000028610 s 	 No				
322486	3000000	 0.0000030994 s 	 No				
322486	4000000	 0.0000040531 s 	 No				
322486	5000000	 0.0000040531 s 	 No				
322486	6000000	 0.0000040531 s 	 No				
322486	7000000	 0.0000050068 s 	 No				
322486	8000000	 0.0000050068 s 	 No				
322486	9000000	 0.0000040531 s 	 Si				
322486	10000000	 0.0000040531 s 	 Si				
3128036	100	 0.0000000000 s 	 No				
3128036	1000	 0.0000009537 s 	 No				
3128036	5000	 0.0000000000 s 	 No				
3128036	10000	 0.0000000000 s 	 No				
3128036	50000	 0.0000009537 s 	 No				
3128036	100000	 0.0000009537 s 	 No				
3128036	200000	 0.0000009537 s 	 No				
